PaperID,Model-Focused Only,Tool/Platform-Focused,Real-World Case Study or Application,Mentions Human/User Factors,Primary Focus on Cost Estimation
1591,No || Focuses on missing data techniques rather than proposing AI/ML models for cost prediction.,No || Not mentioned or unclear.,Yes || Applies missing data techniques to an ERP data set and constructs regression-based prediction models.,No || Not mentioned or unclear.,No
1592,No || Focuses on empirical analysis of existing adjustment factors rather than proposing new AI/ML models.,No || Not mentioned or unclear.,Yes || Reports on empirical investigation with practitioners using function point analysis in practice.,Yes || Mentions that GSCs and VAF are used by many practitioners and discusses their practical value.,No || Focuses on software function point analysis rather than construction cost estimation.
1593,Yes || Proposes artificial neural networks with hierarchical and hybrid prediction schemes for cost estimation using back-propagation algorithm.,No || Not mentioned or unclear.,No || Uses verification with separate design parameters but no real construction project implementation mentioned.,No || Not mentioned or unclear.,Yes
1594,No || Not mentioned or unclear.,Yes || Discusses software development trends and IFC applications for estimating with productivity gains.,No || Not mentioned or unclear.,Yes || References users realizing gains and mentions the flow of information through project life.,Yes
1595,Yes || Proposes and compares three regression methods including fuzzy linear regression and fuzzy goal regression for cost estimation.,No || Not mentioned or unclear.,Yes || Implements cost estimation procedure using complete database with 48 domestic and 29 industrial wastewater treatment plants collected in Taiwan.,Yes || Explicitly mentions that inherent uncertainties where human estimation is influential are explored and fuzzy structure accounts for human complexity in cost estimation.,Yes
1596,No || Focuses on environmental impact analysis and LCA rather than AI/ML models for cost prediction.,Yes || Describes a computational tool for integrating environmental impact modeling within a CAD environment.,No || Mentions prototypical realization but no actual implementation or testing with real projects.,No || Not mentioned or unclear.,No || Primary focus is on environmental impact analysis with cost estimation as a secondary traditional criterion.
1597,Yes || Proposes a regularization neural network model for construction cost estimation with focus on mathematical foundation and noise handling.,No || Not mentioned or unclear.,Yes || Applied to estimate the cost of reinforced-concrete pavements as a specific example.,No || Not mentioned or unclear.,Yes
1598,No || Focuses on energy requirements rather than AI/ML models for cost prediction.,No || Not mentioned or unclear.,Yes || Uses data from Lithuania and former USSR countries with comparison to Western countries for building materials analysis.,No || Not mentioned or unclear.,No || Primary focus is on energy requirements for building materials rather than cost estimation.
1599,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes || Applied in 15 railway and road tunnels in Austria over eight years.,No || Not mentioned or unclear.,Yes
1600,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No
1601,No || The paper focuses on water pollution control perspectives and policy development rather than AI/ML models.,No || Not mentioned or unclear.,Yes || Discusses implementation of water pollution abatement strategies and infrastructure development in Sweden over 50 years.,No || Not mentioned or unclear.,No
1602,No || Not mentioned or unclear.,No || Discusses technological changes but not specific tools or platforms.,Yes || Author draws from 20 years of field experience in engineering/construction cost and estimating positions.,Yes || Focuses on the changing role of the estimator and technological changes affecting the profession.,Yes
1603,No || Reviews existing methods rather than proposing new AI/ML models.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes
1604,No || Focuses on economic optimization and cost-effectiveness comparison rather than AI/ML model development.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes
1605,No || The paper compares two existing evaluation methods rather than proposing new AI/ML models.,No || Not mentioned or unclear.,Yes || The methods were tested using actual data from Ethiopian road projects and are used by the Ethiopian Transport Construction Authority.,No || Not mentioned or unclear.,No || The paper focuses on vehicle operating costs for road transport evaluation rather than construction cost estimation.
1606,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No
1607,No || Focuses on systematic approaches and methods rather than AI/ML models.,No || Discusses methods and approaches but not specific software systems or platforms.,No || Presents general methodology without specific real-world implementation examples.,Yes || Explicitly discusses estimators' skills and the need for sound engineering knowledge and practical experience.,Yes
1608,Yes || Develops a computer model integrating probability statistics and simulation for tunnel cost estimation.,Yes || Describes a computer model with spreadsheet manipulation capabilities for feasibility analysis.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes
1609,No || Provides a framework for cost analysis but does not propose or test specific AI/ML models.,No || Not mentioned or unclear.,No || Discusses application to bridges in earthquake-prone areas but no specific real-world implementation described.,No || Not mentioned or unclear.,Yes
1610,No || Focuses on software development rather than AI/ML models or algorithms.,Yes || Describes development of HighEst software workstation for highway construction cost estimation.,Yes || Implemented for Pennsylvania Department of Transportation with real organizational context and estimating practices.,Yes || Mentions supporting estimators in using techniques in a standard way and improving estimating practices.,Yes
1611,No || Focuses on knowledge models for method selection rather than AI/ML cost prediction models.,No || Describes a knowledge model concept but not a specific software system or platform.,Yes || Plans to apply the model to a residential building project design element.,No || Not mentioned or unclear.,No || Cost estimation is mentioned as a secondary outcome of the method selection process rather than the primary focus.
1612,No || Not mentioned or unclear.,Yes || Describes NAVFAC CES/COMEST software package for construction cost estimation distributed on magnetic media.,Yes || Mentions use by Naval Facilities Engineering Command and availability for both private and government users.,Yes || Explicitly mentions CRSF provides training in the use of COMEST/CES for both private and government users.,Yes
1613,No || Focuses on integrated methodology rather than specific AI/ML models.,Yes || Describes development of a prototype microcomputer system called ESTIMATOR for cost estimation and bid preparation.,Yes || Includes an example application to illustrate the system features.,No || Not mentioned or unclear.,Yes
1614,No || Discusses constructability concepts and cost engineering roles rather than proposing AI/ML models.,No || Not mentioned or unclear.,Yes || Includes examples from the Baltimore Metro's Northeast Line Extension project.,Yes || Discusses the role and judgement of cost engineers and their integration in constructability programs.,Yes
1615,No || Focuses on formal modeling using AND/OR graphs and Petri nets for project management rather than AI/ML cost prediction models.,No || Describes a theoretical model framework rather than a software system or user-facing platform.,No || No mention of implementation in actual projects or real-world testing.,No || No discussion of human interaction or user factors with the model.,No || Cost estimation is mentioned as one of several project management implications but is not the primary focus.
1616,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes || Discusses education and training opportunities for cost engineering educators and students.,Yes
1617,Yes || Compares and tests different probability distribution models (PERT-beta triangular uniform) and simulation methods for range estimation.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes || Mentions practitioners' interest and discusses methods used by estimating professionals.,Yes
1618,No || Discusses estimating techniques and frameworks but does not propose or test specific AI/ML models.,No || Mentions computerized methods but does not describe specific software systems or platforms.,No || Discusses application to project types but no actual implementation or real project data presented.,No || Not mentioned or unclear.,Yes
1619,No || This is a congress proceedings overview listing topics rather than proposing specific models.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes
1620,No || Describes general budgeting techniques rather than specific AI/ML models.,Yes || Describes computer-assisted budgeting techniques and tools for cost estimating.,No || Summarizes techniques used by consultants but doesn't describe specific implementation or testing.,No || Not mentioned or unclear.,Yes
1621,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No
1622,No || Discusses parametric methodology using historical data but does not propose or test specific AI/ML models.,No || Not mentioned or unclear.,Yes || Discusses application across multiple sites over several years with real historical cost data.,Yes || Mentions that fair amount of knowledge of activities and sites must be known to apply methodology properly.,Yes
1623,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes || Analysis based on actual DOE project estimates from first two years of implementation.,No || Not mentioned or unclear.,Yes
1624,No || Not mentioned or unclear.,Yes || Discusses software industry standards and data interchange for construction estimating databases.,No || Not mentioned or unclear.,Yes || References tomorrow's users and their software environment experience.,Yes
1625,No || The paper focuses on economic assessment and cost comparison rather than proposing AI/ML models.,No || Not mentioned or unclear.,Yes || The study analyzes costs under specific conditions of Kuwait with real market assessment.,No || Not mentioned or unclear.,Yes
1626,No || Focuses on database management system design rather than AI/ML models for cost prediction.,Yes || Describes a database management system with integrated cost estimation spreadsheets for urban facilities.,Yes || Implemented for the City of Pittsburgh's retaining wall management with real municipal departments.,No || Not mentioned or unclear.,No || Cost estimation is one component of a broader facility management system.
1627,No || Discusses general cost modeling approaches but does not propose or test specific AI/ML models.,No || Mentions spreadsheet-based models but does not describe specific software systems or platforms.,No || Discusses current and future practices conceptually without implementation in actual projects.,Yes || Explicitly mentions problems that estimators face and computational procedures they use.,Yes
1628,Yes || Describes a computer simulation model for duration and cost estimation with rapid response to input changes.,Yes || Mentions Leonardo platform/tool that provides flexibility for model development.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes
1629,No || Not mentioned or unclear.,No || Mentions computer systems but focuses on general cost control procedures rather than specific tools or platforms.,No || Not mentioned or unclear.,Yes || Discusses cost-conscious attitudes and value judgements as human factors in cost control.,No
1630,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes
1631,No || Presents a methodology rather than an AI/ML model for cost prediction.,No || Describes a budgeting methodology rather than a software system or automation tool.,Yes || Includes a complete sample budget demonstrating practical application of the methodology.,No || Not mentioned or unclear.,Yes
1632,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No
1633,No || Does not propose or test any AI/ML models or algorithms.,No || Does not describe software systems or automation tools.,No || Does not include implementation in actual projects or real data testing.,Yes || Discusses factors that cost estimators need to consider and familiarize themselves with.,Yes
1634,No || Not mentioned or unclear.,Yes || Describes a computer integrated manufacturing system with modular subsystems including cost estimation.,Yes || Implemented as a pan-European project with 36 organizations from 7 countries participating.,No || Not mentioned or unclear.,No
1635,No || Focuses on work breakdown structure methodology rather than AI/ML models.,No || Describes a planning methodology rather than a software system or platform.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No
1636,No || Not mentioned or unclear.,Yes || Describes computer applications for cost engineering problems.,Yes || Presents a real contract example for coal handling system construction on a power plant.,No || Not mentioned or unclear.,Yes
1637,Yes || Develops and enhances a fuzzy logic-based method for cost estimation with algorithmic improvements and parameter optimization.,No || Not mentioned or unclear.,Yes || Tests the method using a database of existing plants and compares accuracy with existing methods.,No || Not mentioned or unclear.,Yes
1638,Yes || Presents a model for quantifying consequential costs of downtime with four categories and methodology.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No
1639,Yes || Proposes AHP for risk analysis and goal programming models for project control with mathematical formulation.,No || Not mentioned or unclear.,No || Demonstrates effectiveness but no actual project implementation described.,No || Not mentioned or unclear.,No || Focuses on overall project planning and control rather than specifically cost estimation.
1640,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,"Yes || The title explicitly mentions ""Training"" and the abstract discusses guidelines for cost estimating which implies educational/training aspects.",Yes
1641,No || Focuses on framework and complexity analysis rather than proposing specific AI/ML models.,Yes || Describes expert system for cost estimating decision support and knowledge engineering methodologies.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes
1642,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes || Presents cost estimates based on 25 years of experience with actual desalination systems in Israel.,No || Not mentioned or unclear.,No
1643,No || This is a conference proceedings overview covering multiple topics without proposing specific models.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes || Mentions cost engineering education which involves human learning and training factors.,Yes
1644,No || Focuses on contingency budgeting methodology rather than AI/ML models.,No || Not mentioned or unclear.,No || Presents a method with example but no actual project implementation mentioned.,No || Not mentioned or unclear.,Yes
1645,No || Describes a cost model but focuses on interactive computer-based tool rather than AI/ML algorithmic development.,Yes || Describes an interactive computer-based cost model system for reinforced concrete construction estimation.,No || Not mentioned or unclear.,Yes || Mentions the model is interactive and computer-based implying user interaction with the system.,Yes
1646,No || Focuses on cost division methods rather than AI/ML models for prediction.,No || Not mentioned or unclear.,Yes || Analyzes cost estimates from three ships in liner tanker and tramp markets.,No || Not mentioned or unclear.,No || Primary focus is on maritime route costs and shipping policy rather than construction cost estimation.
1647,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes || Presents actual cost data from eight power plants over 35 years and compares with preliminary estimates.,No || Not mentioned or unclear.,Yes.
1648,No || Does not propose or test any AI/ML models or algorithms.,No || Does not describe any software systems or automation tools.,No || Discusses general cost estimation challenges but no actual implementation or field testing.,No || Does not discuss human interaction with estimation tools or methods.,Yes
1649,No || Describes a conceptual estimation approach rather than proposing or testing specific AI/ML models.,Yes || Describes parametric estimation software and programs for generating cost estimates from minimal details.,No || Not mentioned or unclear.,Yes || Mentions how estimators use this approach as a quick check and for value analysis decisions.,Yes
1650,No || The paper focuses on design optimization methodology rather than proposing or testing AI/ML models for cost prediction.,Yes || Describes EPRI's FGDCOST computer program and other software tools used for FGD system design and cost estimation.,Yes || Applied to actual design of a limestone-based system for a 650 MW generating unit with real-world implementation.,No || Not mentioned or unclear.,No || Primary focus is on FGD system design optimization with cost estimation as a supporting component.
1651,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes
1652,No || The paper focuses on knowledge base management systems architecture rather than AI/ML models for prediction.,Yes || Describes a generic architecture for knowledge base management systems with storage management and query processing capabilities.,No || Presents preliminary performance evaluation but no real-world construction project implementation.,No || Not mentioned or unclear.,No || The paper focuses on knowledge base management systems with cost estimation only mentioned as part of query cost modeling.
1653,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes || Survey of 78 Canadian and US building construction contractors examining current practices.,Yes || Survey elicits current practices from contractors and discusses their estimation methods and approaches.,Yes
1654,No || Reviews existing cost control methods rather than proposing new AI/ML models.,No || Discusses cost analysis techniques but not specific software systems or platforms.,Yes || Reviews methods used in British construction projects with real-world application context.,No || Not mentioned or unclear.,Yes
1655,Yes || Proposes a fuzzy goal regression model for cost estimation and compares it with other regression models.,No || Not mentioned or unclear.,Yes || Implemented for construction cost estimation of municipal incinerators in Taiwan with practical assessment.,No || Not mentioned or unclear.,Yes
1656,No || Focuses on practical approach to inflation mitigation rather than AI/ML model development.,Yes || Describes a computer-based system that supports cost estimation and control.,Yes || Presents results from an actual construction project in Bogota Colombia.,No || Not mentioned or unclear.,Yes
1657,No || Presents a correlation-based method rather than AI/ML models.,No || Not mentioned or unclear.,Yes || Uses actual plant construction data to develop and validate the method.,No || Not mentioned or unclear.,Yes
1658,No || Discusses rules of thumb and analytical functions but not AI/ML models.,Yes || Describes an HP41CV program for cost calculations.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes
1659,No || Describes an expert system but not focused on AI/ML model development for cost prediction.,Yes || Describes the Radon Information System (RIS) as a software platform that includes cost estimation among other features.,Yes || Based on research data from Florida Radon Research Program and EPA methods with real experimental data.,Yes || Explicitly mentions the system assists contractors homeowners and designers in decision making.,No || Cost estimation is mentioned as one component but the primary focus is on radon mitigation system design.
1660,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes || Evaluates cost control system through a case study of an administrative and educational building project.,No || Not mentioned or unclear.,Yes.
1661,No || Conference proceedings with general mentions of estimation methods but no specific AI/ML model proposals.,No || Software mentioned generally but no specific tool or platform described.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes
1662,No || Describes expert systems but focuses on document generation rather than model development for cost prediction.,Yes || Describes a computer-based system with CAD integration and word-processing for construction planning documents.,No || Not mentioned or unclear.,Yes || Mentions user interaction with the system and consistency check procedures that provide information to users.,No || Cost estimation is mentioned as one element among method selection and scheduling in a broader construction planning system.
1663,No || Uses statistical analysis and ANOVA but not AI/ML models for cost prediction.,No || Not mentioned or unclear.,Yes || Study conducted for Indiana Department of Highways using actual bridge replacement cost data.,No || Not mentioned or unclear.,Yes
1664,Yes || Discusses neural networks for cost estimation including their ability to self-organize knowledge and generate results from incomplete information.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes || Explicitly compares neural networks to how human estimators develop expertise through experience.,Yes
1665,No || Describes a cost estimation method but not an AI/ML model for construction.,No || Not mentioned or unclear.,No || Theoretical analysis without real-world implementation or field testing.,No || Not mentioned or unclear.,No || Focuses on nuclear fusion power station economics rather than construction cost estimation.
1666,No || The paper analyzes cost trends rather than proposing or testing AI/ML models.,No || No software system or automation tool is described.,Yes || Uses data from several completed projects over the past 10 years in the pulp and paper industry.,No || Not mentioned or unclear.,Yes
1667,No || Focuses on identifying common mistakes rather than proposing or testing AI/ML models.,No || Does not describe software systems or automation tools.,Yes || Describes personal experience from three different actual construction projects with real cost data and outcomes.,Yes || Discusses human estimating mistakes and provides a knowledge framework for construction firms to evaluate cost estimating alternatives.,Yes
1668,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes || Describes implementation of cost control methods in an actual billion-dollar refinery expansion project with real cost and schedule outcomes.,No || Not mentioned or unclear.,Yes
1669,No || Presents a systematic procedure for fee calculation but does not propose or test AI/ML models.,No || Describes a calculation method but not a software system or automation tool.,No || Presents a general method without implementation in actual projects or real company settings.,No || Focuses on calculation methodology without discussing user interaction or adoption factors.,Yes
1670,No || Does not propose or test any AI/ML models for cost prediction.,No || Does not describe a software system or automation tool.,Yes || Reports a method developed and used at Air Products and Chemicals company for actual process development units.,No || Does not discuss human interaction with estimation tools or methods.,Yes
1671,No || The paper focuses on nondestructive testing method selection algorithms rather than AI/ML models for cost prediction.,No || Not mentioned or unclear.,Yes || The paper addresses real-world applications in manufacturing maintenance and repair of aircraft parts and equipment.,No || Not mentioned or unclear.,No || Cost estimation is mentioned but the primary focus is on nondestructive testing method selection for manufacturing and maintenance.
1672,Yes || Develops mathematical models to predict project cost as a function of material categories.,Yes || Develops a microcomputer based procedure for preliminary cost estimation.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes
1673,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes || Based on interview questionnaire survey with 24 large building contractors in Saudi Arabia.,Yes || Discusses problems frequently facing estimators and practices followed by contractors.,Yes
1674,No || Describes design procedures and methodology rather than proposing or testing AI/ML models.,Yes || Describes interactive computer graphics-based design procedures and systems for shipbuilding.,Yes || Work carried out for British Shipbuilders with application to Ro-Ro vessel cost estimation using actual work content database.,No || Not mentioned or unclear.,Yes
1675,No || This is a conference proceedings overview covering multiple topics without proposing specific models.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes || Mentions cost engineering education which involves human learning and training factors.,Yes
1676,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes || Demonstrates applicability on a practical North Sea pipeline project with structural analysis results.,No || Not mentioned or unclear.,No
1677,Yes || Proposes a fuzzy estimation model using near-degree theory in fuzzy mathematics for subconstruction cost estimation.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes
1678,No || Focuses on system design rather than AI/ML model development or testing.,Yes || Describes a PC-based prototype system called 'Estimator' for automated bid preparation with integrated features.,Yes || Includes an example application to demonstrate the prototype's capabilities and practicality.,Yes || Explicitly discusses estimators' experience-based judgement and how the system supports their decision-making process.,Yes
1679,No || Does not propose or test any AI/ML models or algorithms.,No || Does not describe any software systems or automation tools.,No || Does not include implementation in actual projects or real data testing.,Yes || Discusses team collaboration between owner designer and construction manager in cost control processes.,Yes
1680,No || Describes a knowledge-based system but not specifically an AI/ML model like ANN or regression.,Yes || Describes development of a prototype knowledge-based system to assist cost estimators.,Yes || System was developed by capturing expertise from multiple experts at three construction firms.,Yes || Discusses how the system assists cost estimators and addresses human expertise transfer and decision-making processes.,Yes
1681,No || The paper presents a procedure for benefit/cost analysis rather than proposing or testing AI/ML models.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes || The paper discusses assisting public decision makers in selection processes and mentions the need for rational basis for public administrators and officials.,No || The paper focuses on benefit/cost analysis methodology for comparing trenchless alternatives rather than construction cost estimation specifically.
1682,No || Describes existing estimating tools and factors but does not propose or test AI/ML models.,Yes || Lists 21 KSC estimating tools including specifications and price books for aerospace construction.,Yes || Provides real example of Space Station Processing Facility with actual bid comparison ($56.2M vs $56.9M government estimate).,No || Not mentioned or unclear.,Yes
1683,Yes || Proposes a Case-Based Reasoning (CBR) AI technique for cost estimation with effectiveness evaluation.,Yes || Describes a case-based expert system called CBRefurb for cost estimation.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes
1684,No || The paper uses an existing tool (CAPDET) rather than proposing new AI/ML models.,Yes || Describes adaptation of CAPDET software system for Canadian wastewater treatment plant cost estimation.,Yes || Tested on 10 actual Canadian wastewater treatment plants with comparison to actual construction costs.,No || Not mentioned or unclear.,Yes
1685,Yes || Develops an optimization algorithm using SUMT for cost-effective design with wave statistics and stability analysis.,No || Not mentioned or unclear.,Yes || Algorithm applicability examined using experimental data on stability and wave characteristics.,No || Not mentioned or unclear.,No || Primary focus is on optimal design of rubble mound structures with cost as one consideration.
1686,Yes || Uses statistical regression technique for cost estimation and benefit analysis with simulation results.,No || Not mentioned or unclear.,Yes || Illustrated with example concerning appraisal of low-volume rural roads in the Philippines.,No || Not mentioned or unclear.,Yes
1687,No || Does not propose or test any AI/ML models or algorithms.,No || Does not describe software systems or automation tools.,Yes || Discusses real international projects in the Middle East with actual cost considerations.,Yes || Mentions cost engineers and the pressures they face in the costing process.,Yes
1688,No || Focuses on data acquisition model and integration rather than AI/ML algorithms.,Yes || Describes a Work Packaging model using Design Components for scheduling data acquisition.,No || Not mentioned or unclear.,Yes || Mentions expert intuition and addresses problems faced by scheduling professionals.,No || Primary focus is on scheduling data acquisition and integration with cost estimation as secondary.
1689,No || Focuses on selection methodology rather than proposing AI/ML models for cost prediction.,Yes || Describes an expert system for evaluating and selecting cost estimating software packages.,No || Not mentioned or unclear.,Yes || Discusses helping construction companies identify expectations and evaluate packages to satisfy their needs.,Yes
1690,No || This is a proceedings volume containing multiple papers rather than proposing a specific AI/ML model.,No || Not mentioned or unclear.,Yes || Mentions applications of cost engineering in several projects indicating real-world implementations.,Yes || Explicitly mentions personnel training as one of the main topics discussed.,Yes
1691,No || Describes a cost estimating tool but doesn't emphasize AI/ML model development or algorithmic improvements.,Yes || Describes COSTUN as a computer program/tool for cost estimating within the design process for rock tunnels.,Yes || Performance was assessed in two large tunnels in Western Canada with real project applications.,No || Not mentioned or unclear.,Yes
1692,No || Focuses on industry/location index methodology rather than AI/ML models.,No || Describes indexing methodology rather than software tools or platforms.,No || Proposes methodology but no actual implementation or field testing mentioned.,No || No discussion of user interaction or human factors.,Yes || Paper centers on cost estimation methodology through industry/location indexing.
1693,No || Not mentioned or unclear.,Yes || Describes an electronic database system for collecting and applying international cost information.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes
1694,No || This is a general chemical engineering guide focused on heat transfer equipment design and operation rather than AI/ML models.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Cost estimation is only briefly mentioned as one topic among many in this comprehensive heat transfer equipment guide.
1695,No || Describes an interactive computer model but focuses on the tool/platform rather than algorithmic development.,Yes || Describes an interactive computer model developed as a software system for cost estimation with various design parameters.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes
1696,No || The paper focuses on interface problems between parties rather than proposing AI/ML models for cost prediction.,No || The paper does not describe software systems or automation tools for cost estimation.,Yes || The paper includes a questionnaire survey conducted in Saudi Arabia examining real-world maintenance contractor relationships.,Yes || The paper discusses training programs for maintenance teams and contractor-owner interface problems involving human factors.,No || The paper's primary focus is on interface problems between owners and maintenance contractors rather than cost estimation specifically.
1697,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No
1698,No || Focuses on software tool development rather than AI/ML model algorithms.,Yes || Describes AFBCost as a user-friendly interactive software product for cost and performance estimation.,Yes || Program accurately reproduces cost and performance data for constructed FBC plants.,Yes || Mentions user-friendly interactive interface and allows users to carry out analysis.,Yes
1699,No || Describes a software program rather than proposing or testing AI/ML models.,Yes || Describes a software package for masonry cost analysis and quantity take-offs on MS-DOS microcomputers.,Yes || Created through collaboration between industry and academic institute indicating real-world application.,Yes || Explicitly mentions goal of requiring minimum training for users and promotes adoption in construction industry.,Yes
1700,No || This is a proceedings volume containing multiple papers on various topics rather than proposing specific AI/ML models.,No || While computer applications are mentioned they are not described as specific software systems or platforms.,No || Not mentioned or unclear.,Yes || Mentions computer aided instruction and teaching of cost engineering indicating educational and human factors.,No || Cost estimating is one of many topics covered but not the primary focus of this proceedings volume.
1701,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Cannot determine focus without abstract.
1702,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes
1703,No || Focuses on software engineering methodology rather than AI/ML models for prediction.,Yes || Describes development of geographic information systems software.,No || Discusses methodology but no actual implementation or field testing mentioned.,No || Not mentioned or unclear.,No || Primary focus is on software engineering methodology for GIS development with cost estimation as a secondary consideration.
1704,No || Focuses on electronic spreadsheet technology rather than AI/ML models.,Yes || Describes electronic spreadsheet software as a computer-assisted construction estimating tool.,No || Not mentioned or unclear.,Yes || Explicitly mentions implementation by estimating professionals with little or no prior computer experience.,Yes
1705,Yes || Describes mathematical cost modeling techniques and parametric cost models for prediction.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes
1706,Yes || Develops a mathematical model for calculating optimal unbalanced bid prices to maximize expected net worth.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes
1707,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No
1708,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Cannot determine focus without abstract.
1709,No || Focuses on structural design optimization rather than AI/ML cost prediction models.,Yes || Describes a computer program for steel joist design that includes cost estimation functionality.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Primary focus is on structural design with cost estimation as a secondary feature.
1710,Yes || Examines cost-estimation models and analyzes dependences of cost on various parameters like weight and construction technology.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes
1711,No || The paper compares design procedures and costs but does not propose or test AI/ML models.,No || Not mentioned or unclear.,Yes || Presents actual design procedures and cost estimation for three different oxidation ditch designs with comparative analysis.,No || Not mentioned or unclear.,Yes
1712,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes || Describes actual construction and operation of solar panels in author's house near Fairbanks with real performance data.,No || Not mentioned or unclear.,No
1713,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No
1714,No || This is a conference proceedings listing paper titles without describing specific AI/ML models.,Yes || Mentions computerized piping estimation and computerized cost reporting systems.,No || Lists conference papers but doesn't describe actual implementation details or case studies.,No || Not mentioned or unclear.,Yes
1715,No || The paper describes a computer program for sizing and weight estimation but does not propose or test AI/ML models for cost prediction.,Yes || Describes a computer program that performs preliminary sizing and prepares cost estimates for TSG platforms.,No || The study evaluates technical feasibility and economic attractiveness but does not mention implementation in actual construction projects or real company settings.,No || No discussion of human interaction with the estimation tools or user factors.,Yes
1716,No || Does not propose or test any AI/ML models or algorithms.,No || Does not describe any software systems or automation tools.,No || Discusses general principles but no specific implementation or field testing.,No || Does not discuss human interaction with tools or methods.,Yes
1717,Yes || Proposes a linear regression analysis method for cost projection with testing on data not included in original database.,No || Not mentioned or unclear.,Yes || Method tested on approximately 200 hospitals completed in Sweden and validated on additional data not in original database.,No || Not mentioned or unclear.,Yes
1718,No || Describes a computer program system rather than proposing or testing AI/ML models.,Yes || Presents a computer program system for building cost estimation with detailed material and labor calculations.,No || No mention of actual implementation in real projects or field testing.,No || No discussion of user interaction or human factors in using the system.,Yes
1719,No || Focuses on methodology and integration approach rather than AI/ML models.,No || Describes methodology rather than specific software systems or tools.,No || Presents approach and methodology without mentioning actual project implementation.,Yes || Discusses communication among construction personnel and project team members' utilization of integrated functions.,Yes
